uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
RS;TIO HUGO;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não
SP;GUARULHOS;terça-feira;Pleno dia;Transtornos Mentais (exceto suicidio);Queda de ocupante de veículo;Céu Claro;Múltipla;"Reta;Em Obras";Não
RO;PORTO VELHO;terça-feira;Pleno dia;Suicídio (presumido);Atropelamento de Pedestre;Nublado;Dupla;Reta;Sim
BA;TUCANO;terça-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Não
RJ;RIO DE JANEIRO;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão transversal;Céu Claro;Múltipla;"Retorno Regulamentado;Reta";Não
PR;GUARAPUAVA;terça-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Sol;Simples;"Aclive;Reta";Não
RS;SANTO ANTONIO DAS MISSOES;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
PR;BOCAIUVA DO SUL;sábado;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Nublado;Simples;Curva;Não
RS;SAO MARCOS;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Curva;Aclive";Sim
MG;TEOFILO OTONI;terça-feira;Pleno dia;Faixas de trânsito com largura insuficiente;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim
SC;FLORIANOPOLIS;terça-feira;Pleno dia;Conversão proibida;Colisão lateral mesmo sentido;Nublado;Múltipla;Reta;Sim
RS;SAPUCAIA DO SUL;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
BA;TEODORO SAMPAIO;terça-feira;Pleno dia;Frear bruscamente;Saída de leito carroçável;Céu Claro;Simples;"Reta;Declive";Não
PR;GUARANIACU;terça-feira;Pleno dia;Transitar na contramão;Colisão frontal;Sol;Simples;"Curva;Aclive";Não
PI;AMARANTE;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão com objeto;Céu Claro;Simples;"Aclive;Reta";Não
BA;EUNAPOLIS;terça-feira;Pleno dia;Pista Escorregadia;Saída de leito carroçável;Garoa/Chuvisco;Simples;"Curva;Declive";Não
PE;JABOATAO DOS GUARARAPES;terça-feira;Anoitecer;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
BA;TEIXEIRA DE FREITAS;terça-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nublado;Simples;Reta;Não
MT;VERA;terça-feira;Anoitecer;Manobra de mudança de faixa;Colisão frontal;Chuva;Simples;Reta;Não
MG;UBERABA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão transversal;Chuva;Simples;"Curva;Declive";Não
PA;ALTAMIRA;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
SP;GUARULHOS;terça-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Reta;Em Obras";Sim
RO;JARU;terça-feira;Anoitecer;Retorno proibido;Colisão lateral mesmo sentido;Nublado;Simples;"Aclive;Retorno Regulamentado;Curva";Não
SP;JACAREI;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Aclive;Não
SC;GARUVA;terça-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Chuva;Dupla;"Reta;Aclive";Não
MG;ALEM PARAIBA;terça-feira;Plena Noite;Velocidade Incompatível;Saída de leito carroçável;Chuva;Simples;"Curva;Declive";Não
PR;SAO JOSE DOS PINHAIS;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Viaduto;Não
RS;NOVA SANTA RITA;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Declive;Reta;Ponte";Não
RS;SARANDI;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não
SC;ITAPEMA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Garoa/Chuvisco;Dupla;Reta;Sim
SC;JOINVILLE;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão traseira;Garoa/Chuvisco;Dupla;Curva;Sim
SE;NOSSA SENHORA DO SOCORRO;quarta-feira;Pleno dia;Acumulo de óleo sobre o pavimento;Tombamento;Céu Claro;Simples;Reta;Sim
MG;INHAPIM;quarta-feira;Pleno dia;Mal súbito do condutor;Colisão lateral sentido oposto;Céu Claro;Simples;"Reta;Aclive";Não
MT;VARZEA GRANDE;quarta-feira;Pleno dia;Mal súbito do condutor;Saída de leito carroçável;Céu Claro;Dupla;Interseção de Vias;Sim
PR;ROLANDIA;quarta-feira;Pleno dia;Demais falhas na via;Colisão traseira;Céu Claro;Simples;Reta;Sim
SC;PALHOCA;quarta-feira;Pleno dia;Chuva;Colisão com objeto;Garoa/Chuvisco;Dupla;Curva;Não
PI;TERESINA;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;ENGENHEIRO CALDAS;quarta-feira;Amanhecer;Acessar a via sem observar a presença dos outros veículos;Saída de leito carroçável;Ignorado;Simples;Reta;Não
RS;SAO JOSE DAS MISSOES;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Curva;Não
PR;GUARATUBA;quarta-feira;Pleno dia;Ausência de reação do condutor;Atropelamento de Pedestre;Garoa/Chuvisco;Dupla;Reta;Não
PI;PIRIPIRI;quarta-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
MG;POCOS DE CALDAS;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;"Curva;Declive";Não
SP;CAJATI;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Garoa/Chuvisco;Dupla;"Curva;Declive";Não
MG;FRANCISCO SA;quarta-feira;Pleno dia;Chuva;Saída de leito carroçável;Chuva;Simples;"Declive;Reta";Não
RS;SAPUCAIA DO SUL;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Queda de ocupante de veículo;Céu Claro;Dupla;"Viaduto;Declive;Reta";Sim
SC;BALNEARIO PICARRAS;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Nublado;Dupla;"Declive;Reta";Não
PR;PRUDENTOPOLIS;quarta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;"Aclive;Curva";Não
PB;CABEDELO;quarta-feira;Pleno dia;Acostamento em desnível;Eventos atípicos;Céu Claro;Dupla;"Em Obras;Reta";Sim
MG;CAETANOPOLIS;quarta-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Garoa/Chuvisco;Dupla;Curva;Sim
ES;SAO MATEUS;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;"Aclive;Reta";Não
MG;RIBEIRAO DAS NEVES;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;"Reta;Declive";Não
SE;NOSSA SENHORA DO SOCORRO;quarta-feira;Pleno dia;Mal súbito do condutor;Colisão com objeto;Céu Claro;Simples;Reta;Não
PE;PETROLINA;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Nublado;Dupla;Reta;Sim
SP;GUARULHOS;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Nublado;Múltipla;"Em Obras;Reta;Declive";Sim
SC;ITAJAI;quarta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Nublado;Dupla;Curva;Sim
GO;PROFESSOR JAMIL;quarta-feira;Pleno dia;Acumulo de água sobre o pavimento;Saída de leito carroçável;Chuva;Dupla;"Reta;Declive";Não
PB;CABEDELO;quarta-feira;Pleno dia;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Céu Claro;Dupla;"Reta;Em Obras";Sim
SP;REGISTRO;quarta-feira;Pleno dia;Chuva;Saída de leito carroçável;Chuva;Dupla;Reta;Não
RS;CRUZ ALTA;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
PA;MARABA;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Simples;Aclive;Sim
MT;NOBRES;quarta-feira;Anoitecer;Frear bruscamente;Saída de leito carroçável;Chuva;Dupla;Reta;Não
RJ;MANGARATIBA;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Chuva;Simples;Curva;Não
PI;TERESINA;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão transversal;Nublado;Simples;Aclive;Sim
SC;SAO CRISTOVAO DO SUL;quarta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;Rotatória;Não
MG;FELIXLANDIA;quarta-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Colisão com objeto;Chuva;Simples;Reta;Não
TO;ARAGUAINA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;Rotatória;Sim
SC;ARAQUARI;quarta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão transversal;Nublado;Simples;Reta;Sim
BA;PEDRAO;quarta-feira;Anoitecer;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;"Reta;Declive";Não
MG;PARAOPEBA;quarta-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Chuva;Dupla;"Reta;Ponte;Declive";Não
PR;CURITIBA;quarta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Não
PR;PAULO FRONTIN;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão frontal;Chuva;Simples;Reta;Não
MG;CARMOPOLIS DE MINAS;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Não
SC;ARAQUARI;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão transversal;Nublado;Simples;Rotatória;Sim
PA;SAO JOAO DO ARAGUAIA;quarta-feira;Plena Noite;Transitar na contramão;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Sim
MT;BARRA DO GARCAS;quarta-feira;Plena Noite;Condutor Dormindo;Capotamento;Nublado;Simples;Reta;Não
GO;RIO VERDE;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão traseira;Nublado;Simples;Reta;Não
RJ;GUAPIMIRIM;quarta-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Colisão frontal;Chuva;Simples;Curva;Não
MT;GUARANTA DO NORTE;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Chuva;Simples;"Curva;Declive";Não
BA;ARACI;quarta-feira;Plena Noite;Transitar na contramão;Colisão transversal;Céu Claro;Simples;"Reta;Aclive";Não
SP;SAO PAULO;quinta-feira;Plena Noite;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Nublado;Múltipla;Reta;Sim
RJ;ITABORAI;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Simples;Reta;Sim
SC;SOMBRIO;quarta-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nublado;Múltipla;Reta;Não
RS;BUTIA;quinta-feira;Plena Noite;Transitar na contramão;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
SP;MIRACATU;quinta-feira;Plena Noite;Condutor Dormindo;Tombamento;Garoa/Chuvisco;Dupla;Curva;Não
PR;FOZ DO IGUACU;quinta-feira;Plena Noite;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Dupla;Reta;Sim
PR;ANTONINA;quinta-feira;Amanhecer;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Dupla;Reta;Não
MT;CACERES;quinta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Nublado;Simples;Reta;Não
MG;SALINAS;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Garoa/Chuvisco;Simples;"Declive;Reta";Não
SP;GUARULHOS;quinta-feira;Amanhecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim
SC;SAO CRISTOVAO DO SUL;quinta-feira;Amanhecer;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Garoa/Chuvisco;Simples;"Curva;Declive";Não
RS;SANTO ANTONIO DAS MISSOES;quarta-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Não
RS;CAPAO DO LEAO;quinta-feira;Amanhecer;Demais falhas mecânicas ou elétricas;Incêndio;Sol;Simples;Aclive;Não
RJ;SAO JOAO DE MERITI;quinta-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Chuva;Dupla;Reta;Sim
SP;MIRACATU;quinta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Chuva;Dupla;Curva;Não
MG;CONTAGEM;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Céu Claro;Múltipla;Curva;Sim
PR;CORNELIO PROCOPIO;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Declive;Curva";Não
MG;CARMO DA CACHOEIRA;quinta-feira;Amanhecer;Condutor Dormindo;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Aclive;Reta";Não
RJ;QUEIMADOS;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
BA;VEREDA;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Simples;"Declive;Curva";Não
BA;MUQUEM DE SAO FRANCISCO;quinta-feira;Pleno dia;Pista Escorregadia;Colisão frontal;Garoa/Chuvisco;Simples;Curva;Não
PR;PATO BRANCO;quinta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não
MG;MATIAS BARBOSA;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;Reta;Não
MA;SAO JOAO DOS PATOS;quinta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Chuva;Simples;Curva;Não
PR;TOLEDO;quinta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;"Declive;Reta";Não
MG;SAO GONCALO DO RIO ABAIXO;quinta-feira;Pleno dia;Pista Escorregadia;Colisão frontal;Chuva;Simples;"Curva;Declive";Não
GO;FLORES DE GOIAS;quinta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Chuva;Simples;Reta;Não
MG;ITAGUARA;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;"Declive;Reta";Não
RJ;CAMPOS DOS GOYTACAZES;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Sim
MT;ROSARIO OESTE;quinta-feira;Pleno dia;Chuva;Saída de leito carroçável;Chuva;Simples;"Declive;Reta";Não
MG;NOVA ERA;quinta-feira;Pleno dia;Chuva;Saída de leito carroçável;Chuva;Simples;Curva;Não
RS;BUTIA;quinta-feira;Pleno dia;Ausência de reação do condutor;Engavetamento;Sol;Simples;"Em Obras;Reta";Não
PE;RECIFE;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
PR;LAPA;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
MT;TERRA NOVA DO NORTE;quinta-feira;Pleno dia;Falta de acostamento;Saída de leito carroçável;Garoa/Chuvisco;Simples;Reta;Não
GO;CAIAPONIA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Múltipla;"Curva;Declive";Não
RJ;RIO DE JANEIRO;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Sim
PA;SANTA LUZIA DO PARA;quinta-feira;Pleno dia;Entrada inopinada do pedestre;Atropelamento de Pedestre;Nublado;Simples;Aclive;Não
MG;JUIZ DE FORA;quinta-feira;Pleno dia;Curva acentuada;Tombamento;Nublado;Dupla;Curva;Não
SC;ITAJAI;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Não
RS;LAJEADO;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MS;JARAGUARI;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;"Aclive;Reta";Não
MS;CAMPO GRANDE;quinta-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Céu Claro;Simples;Reta;Sim
PR;VENTANIA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Garoa/Chuvisco;Simples;Curva;Não
RO;JI-PARANA;quinta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;"Declive;Reta";Não
MA;SAO LUIS;quinta-feira;Anoitecer;Demais falhas mecânicas ou elétricas;Colisão com objeto;Nublado;Dupla;"Reta;Declive";Sim
RS;POUSO NOVO;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Não
PE;AFRANIO;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;"Curva;Declive";Não
SP;CANAS;quinta-feira;Pleno dia;Velocidade Incompatível;Engavetamento;Garoa/Chuvisco;Múltipla;Reta;Não
RJ;SEROPEDICA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Dupla;"Retorno Regulamentado;Reta";Não
MG;OLIVEIRA FORTES;quinta-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Tombamento;Chuva;Dupla;Curva;Não
PR;UBIRATA;quinta-feira;Plena Noite;Acesso irregular;Colisão frontal;Céu Claro;Simples;Reta;Sim
MG;SIMAO PEREIRA;quinta-feira;Plena Noite;Curva acentuada;Tombamento;Nublado;Dupla;Curva;Não
MG;SETE LAGOAS;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;"Declive;Reta";Sim
SP;CAJATI;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Dupla;"Aclive;Curva";Não
MG;PRATA;sexta-feira;Plena Noite;Velocidade Incompatível;Colisão traseira;Nublado;Dupla;"Declive;Reta";Não
SP;GUARATINGUETA;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
BA;MUQUEM DE SAO FRANCISCO;sexta-feira;Plena Noite;Velocidade Incompatível;Tombamento;Chuva;Simples;"Curva;Declive";Não
MG;JEQUITAI;quinta-feira;Plena Noite;Velocidade Incompatível;Tombamento;Chuva;Simples;Reta;Não
BA;NOVA FATIMA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Céu Claro;Simples;Declive;Não
MG;CAMBUI;sexta-feira;Amanhecer;Velocidade Incompatível;Colisão lateral mesmo sentido;Nublado;Dupla;"Aclive;Curva";Não
MG;BETIM;sexta-feira;Amanhecer;Velocidade Incompatível;Capotamento;Nublado;Dupla;"Curva;Declive";Sim
BA;ITAMARAJU;quinta-feira;Plena Noite;Chuva;Tombamento;Chuva;Simples;"Curva;Declive";Não
BA;JAGUAQUARA;sexta-feira;Plena Noite;Chuva;Saída de leito carroçável;Chuva;Simples;Reta;Não
DF;BRASILIA;sexta-feira;Pleno dia;Pista Escorregadia;Saída de leito carroçável;Céu Claro;Dupla;Reta;Sim
MA;SAO LUIS;sexta-feira;Amanhecer;Frear bruscamente;Colisão traseira;Nublado;Dupla;Declive;Sim
PR;MAUA DA SERRA;sexta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Dupla;Curva;Não
RS;SAO JOSE DO HERVAL;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Capotamento;Céu Claro;Simples;Reta;Não
MT;SINOP;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Simples;Curva;Não
BA;CAMACAN;sexta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;Curva;Não
RJ;RESENDE;sexta-feira;Amanhecer;Transitar na contramão;Colisão frontal;Céu Claro;Dupla;Reta;Sim
MG;RIO CASCA;sexta-feira;Plena Noite;Velocidade Incompatível;Saída de leito carroçável;Ignorado;Simples;Curva;Não
PR;APUCARANA;sexta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Reta;Declive";Sim
MT;BARRA DO GARCAS;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral sentido oposto;Nublado;Simples;Reta;Não
RJ;DUQUE DE CAXIAS;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Múltipla;Reta;Sim
PB;SERRA BRANCA;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;Reta;Não
RJ;VOLTA REDONDA;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Simples;Reta;Sim
PI;BURITI DOS LOPES;sexta-feira;Pleno dia;Curva acentuada;Tombamento;Céu Claro;Simples;Curva;Não
SC;LAGES;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;Reta;Não
MG;PADRE CARVALHO;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Simples;"Curva;Declive";Não
ES;IBIRACU;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão com objeto;Chuva;Simples;"Aclive;Reta";Sim
SE;SAO FRANCISCO;sexta-feira;Pleno dia;Retorno proibido;Colisão lateral mesmo sentido;Nublado;Dupla;"Retorno Regulamentado;Reta";Não
MA;BOM JESUS DAS SELVAS;sexta-feira;Amanhecer;Velocidade Incompatível;Tombamento;Céu Claro;Simples;"Declive;Curva";Não
RS;CANOAS;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Céu Claro;Dupla;Reta;Sim
GO;COCALZINHO DE GOIAS;sexta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Nublado;Simples;Curva;Sim
SE;LARANJEIRAS;sexta-feira;Pleno dia;Chuva;Colisão frontal;Chuva;Simples;Reta;Não
BA;ESPLANADA;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão com objeto;Chuva;Simples;Desvio Temporário;Não
MS;CAARAPO;sexta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
