uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
SC;RODEIO;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;"Reta;Ponte";Não
BA;SAO DESIDERIO;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Nublado;Simples;Reta;Não
BA;ITAGIMIRIM;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
MS;NOVA ALVORADA DO SUL;domingo;Plena Noite;Manobra de mudança de faixa;Colisão com objeto;Céu Claro;Simples;Reta;Não
PB;MATARACA;domingo;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Dupla;Reta;Não
BA;NOVA VICOSA;domingo;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Simples;"Declive;Reta";Não
ES;MUQUI;domingo;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;"Declive;Reta";Não
BA;SALVADOR;domingo;Plena Noite;Velocidade Incompatível;Tombamento;Céu Claro;Múltipla;Curva;Sim
PE;BELO JARDIM;segunda-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Sim
PR;PALMEIRA;segunda-feira;Plena Noite;Transitar na contramão;Colisão frontal;Nublado;Simples;"Declive;Reta";Não
SP;MAIRIPORA;segunda-feira;Amanhecer;Demais falhas mecânicas ou elétricas;Colisão lateral mesmo sentido;Sol;Dupla;"Declive;Reta";Não
BA;JEQUIE;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não
BA;CANDIDO SALES;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;"Curva;Declive";Não
RJ;NITEROI;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Ponte;Curva";Não
SC;BLUMENAU;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Céu Claro;Múltipla;Reta;Não
PR;NOVA LARANJEIRAS;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;"Curva;Declive";Não
RS;FREDERICO WESTPHALEN;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sol;Simples;Reta;Não
MS;PARANAIBA;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
SP;JACAREI;segunda-feira;Pleno dia;Frear bruscamente;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SC;CAMPOS NOVOS;segunda-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;Interseção de Vias;Não
TO;COLINAS DO TOCANTINS;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
RS;SARANDI;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não
PR;GUARAPUAVA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Múltipla;"Aclive;Reta";Não
MG;DELTA;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;"Reta;Aclive";Não
PR;PARANAGUA;segunda-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;"Interseção de Vias;Reta;Rotatória";Sim
PR;PONTA GROSSA;segunda-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Dupla;"Curva;Declive";Não
MG;GOVERNADOR VALADARES;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão transversal;Céu Claro;Simples;Reta;Não
BA;WENCESLAU GUIMARAES;segunda-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;"Reta;Declive";Não
MG;PRATA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nublado;Simples;"Declive;Curva";Não
MS;APARECIDA DO TABOADO;segunda-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;Reta;Não
RS;LAGOA VERMELHA;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não
